subject_num	condition	rt	response	color	valence	age	gender
144	mixed	398.497444544036	correct	red	negative	27	2
144	mixed	478.341364614748	correct	red	negative	27	2
144	mixed	507.634515015812	correct	red	positive	27	2
144	mixed	598.345310757173	correct	green	negative	27	2
144	mixed	611.203206902607	correct	green	positive	27	2
144	mixed	516.300861400348	correct	green	positive	27	2
144	mixed	536.263973073896	correct	red	positive	27	2
144	mixed	670.99992841019	incorrect	green	negative	27	2
144	mixed	714.291273687973	correct	green	negative	27	2
144	mixed	349.765451220027	correct	green	negative	27	2
144	mixed	733.717451148689	correct	green	positive	27	2
144	mixed	585.849206844643	correct	red	negative	27	2
144	mixed	630.359097659807	correct	green	negative	27	2
144	mixed	NA	tooslow	red	negative	27	2
144	mixed	NA	tooslow	red	negative	27	2
144	mixed	606.585870061002	correct	green	positive	27	2
144	mixed	545.751442519727	correct	red	positive	27	2
144	mixed	517.619832656785	incorrect	red	negative	27	2
144	mixed	581.498085462061	correct	red	negative	27	2
144	mixed	442.146723637167	correct	red	negative	27	2
144	mixed	715.111100521047	correct	green	negative	27	2
144	mixed	688.024087642644	correct	green	negative	27	2
144	mixed	709.568967550961	correct	green	positive	27	2
144	mixed	313.928884064971	incorrect	green	negative	27	2
144	mixed	559.19557188658	incorrect	green	negative	27	2
144	mixed	NA	tooslow	green	negative	27	2
144	mixed	358.080670582454	correct	green	positive	27	2
144	mixed	NA	tooslow	red	negative	27	2
144	mixed	1035.68835482517	incorrect	green	negative	27	2
144	mixed	546.91861032554	correct	red	negative	27	2
144	mixed	794.040183272108	incorrect	red	negative	27	2
144	mixed	549.624576677588	incorrect	red	negative	27	2
144	mixed	478.109651303861	correct	green	negative	27	2
144	mixed	322.730896443017	correct	green	positive	27	2
144	mixed	458.360419327307	correct	red	negative	27	2
144	mixed	NA	tooslow	red	positive	27	2
144	mixed	668.287826465514	correct	red	negative	27	2
144	mixed	266.735860248304	correct	red	positive	27	2
144	mixed	652.809918532639	correct	green	positive	27	2
144	mixed	458.675548915643	correct	red	positive	27	2
144	mixed	588.936083889016	correct	red	negative	27	2
144	mixed	610.606900307536	incorrect	red	positive	27	2
144	mixed	NA	tooslow	green	negative	27	2
144	mixed	548.759470174302	correct	red	negative	27	2
144	mixed	310.074576786783	correct	green	positive	27	2
144	mixed	419.645119154282	correct	green	positive	27	2
144	mixed	527.313160864911	correct	green	negative	27	2
144	mixed	470.630471610327	correct	green	negative	27	2
144	mixed	408.982262756849	correct	green	positive	27	2
144	mixed	381.573650145807	incorrect	green	positive	27	2
144	mixed	895.881222701186	correct	green	negative	27	2
144	mixed	307.504265078492	correct	green	positive	27	2
144	mixed	311.348594469281	correct	green	positive	27	2
144	mixed	370.036732013019	correct	red	positive	27	2
144	mixed	678.27491073585	correct	green	negative	27	2
144	mixed	NA	tooslow	red	negative	27	2
144	mixed	591.170909192032	incorrect	red	positive	27	2
144	mixed	636.674699752661	incorrect	green	negative	27	2
144	mixed	550.326599015833	incorrect	red	positive	27	2
144	mixed	NA	tooslow	green	positive	27	2
144	mixed	240.841511401389	correct	red	negative	27	2
144	mixed	615.742951460859	incorrect	red	negative	27	2
144	mixed	521.410249987142	incorrect	green	negative	27	2
144	mixed	516.97051804577	incorrect	red	negative	27	2
144	mixed	326.102670093945	correct	green	positive	27	2
144	mixed	182.004145349611	correct	red	positive	27	2
144	mixed	872.881720865343	correct	red	positive	27	2
144	mixed	713.112036506818	correct	red	negative	27	2
144	mixed	750.404902093203	correct	green	negative	27	2
144	mixed	494.087153785138	correct	red	positive	27	2
144	mixed	240.257908141311	correct	red	positive	27	2
144	mixed	595.8777113911	correct	green	positive	27	2
144	mixed	509.305936916586	correct	green	negative	27	2
144	mixed	394.13573058664	correct	green	negative	27	2
144	mixed	569.788623130009	correct	green	positive	27	2
144	mixed	467.410163233602	correct	red	negative	27	2
144	mixed	574.99325722534	correct	red	negative	27	2
144	mixed	NA	tooslow	red	negative	27	2
144	mixed	719.308310940432	correct	red	positive	27	2
144	mixed	469.458026099692	incorrect	green	positive	27	2
144	mixed	590.935428899581	correct	green	negative	27	2
144	mixed	446.269064376202	correct	green	positive	27	2
144	mixed	494.524522357716	correct	red	positive	27	2
144	mixed	759.571200125309	correct	red	positive	27	2
144	mixed	763.052555989439	correct	green	negative	27	2
144	mixed	719.387962479775	correct	red	positive	27	2
144	mixed	619.565236845624	correct	red	positive	27	2
144	mixed	483.997198513779	incorrect	green	negative	27	2
144	mixed	443.146104498386	correct	red	positive	27	2
144	mixed	574.88817689045	incorrect	green	negative	27	2
144	mixed	NA	tooslow	green	negative	27	2
144	mixed	NA	tooslow	green	positive	27	2
144	mixed	831.778162894318	incorrect	green	negative	27	2
144	mixed	701.712419504119	correct	green	positive	27	2
144	mixed	463.485400215084	correct	red	negative	27	2
144	mixed	326.194039546883	correct	green	negative	27	2
144	mixed	220.685718646367	correct	green	negative	27	2
144	mixed	608.342586430163	correct	green	positive	27	2
144	mixed	563.066633078357	correct	green	positive	27	2
144	mixed	378.543139864542	correct	red	negative	27	2
